Id,Time,heart_rate,steps,calories,risk
2022484408,2016-04-01 07:00:00,0.4787276529602737,0.011642214860388073,0.034988713318284424,0
2022484408,2016-04-01 08:00:00,0.2339293311370449,0.0416469474680549,0.07674943566591422,0
2022484408,2016-04-01 09:00:00,0.6553980208958814,0.4726928537624231,0.42889390519187354,0
2022484408,2016-04-01 10:00:00,0.45167758787454587,0.2769522006625651,0.22686230248307,0
2022484408,2016-04-01 11:00:00,0.3913475060658996,0.0,0.016930022573363436,0
2022484408,2016-04-01 14:00:00,0.699861592296483,0.012020823473734028,0.10158013544018057,0
2022484408,2016-04-01 15:00:00,0.2633514625036319,0.0367250354945575,0.06772009029345372,0
2022484408,2016-04-01 16:00:00,0.31656372927425774,0.1828679602460956,0.15011286681715574,0
2022484408,2016-04-01 17:00:00,0.38368677971037707,0.12181732134406058,0.16252821670428894,0
2022484408,2016-04-01 18:00:00,0.2777506723839083,0.07666824420255561,0.10383747178329572,0
2022484408,2016-04-01 19:00:00,0.3052209809777336,0.0351159488878372,0.08013544018058691,0
2022484408,2016-04-01 20:00:00,0.3174286579413184,0.019403691433980123,0.055304740406320545,0
2022484408,2016-04-02 09:00:00,0.17780057020603185,0.003691433980123048,0.022573363431151246,0
2022484408,2016-04-02 10:00:00,0.18742683074459282,0.011736867013724563,0.033860045146726865,0
2022484408,2016-04-02 11:00:00,0.18851896262581108,0.024514907714150498,0.0474040632054176,0
2022484408,2016-04-02 12:00:00,0.27627590797190554,0.10894462849029815,0.11963882618510158,0
2022484408,2016-04-02 13:00:00,0.2855211370010458,0.04552768575485092,0.0835214446952596,0
2022484408,2016-04-02 14:00:00,0.2498906879601001,0.0547089446284903,0.07223476297968398,0
2022484408,2016-04-02 15:00:00,0.28762470864824957,0.06455276857548509,0.10609480812641084,0
2022484408,2016-04-02 16:00:00,0.263563653114201,0.04959772834831992,0.07562076749435667,0
2022484408,2016-04-02 17:00:00,0.163185767352164,0.008802650260293421,0.03724604966139954,0
2022484408,2016-04-02 18:00:00,0.24734199431951304,0.08831045906294369,0.11512415349887134,0
2022484408,2016-04-02 19:00:00,0.2503700924940044,0.04174159962139139,0.07110609480812641,0
2022484408,2016-04-02 20:00:00,0.24556575730866897,0.016280170373876007,0.039503386004514675,0
2022484408,2016-04-03 08:00:00,0.5645494762258225,0.21599621391386653,0.1783295711060948,0
2022484408,2016-04-03 09:00:00,0.31677247951238524,0.12598201609086607,0.1455981941309255,0
2022484408,2016-04-03 10:00:00,0.2229332306060638,0.08594415522953147,0.10270880361173815,0
2022484408,2016-04-03 11:00:00,0.22543576682325933,0.03909133932796971,0.07336343115124153,0
2022484408,2016-04-03 12:00:00,0.22260571017113512,0.024041646947468055,0.05417607223476297,0
2022484408,2016-04-03 13:00:00,0.2183801204295412,0.007856128726928537,0.029345372460496615,0
2022484408,2016-04-03 14:00:00,0.2598716317498306,0.04249881684808329,0.06320541760722348,0
2022484408,2016-04-03 15:00:00,0.27812171624954,0.138760056791292,0.1343115124153499,0
2022484408,2016-04-03 16:00:00,0.19931637691911658,0.053289162328442975,0.07110609480812641,0
2022484408,2016-04-03 17:00:00,0.287357000693422,0.14917179365830574,0.1343115124153499,0
2022484408,2016-04-03 18:00:00,0.1674894899611276,0.033980123047799335,0.04966139954853272,0
2022484408,2016-04-03 19:00:00,0.3460862545740557,0.11386654046379555,0.16591422121896163,0
2022484408,2016-04-03 20:00:00,0.14648873606864504,0.02432560340747752,0.039503386004514675,0
2022484408,2016-04-04 09:00:00,0.20447437994368495,0.030099384761003312,0.05981941309255078,0
2022484408,2016-04-04 10:00:00,0.2647609812423795,0.11045906294368196,0.1218961625282167,0
2022484408,2016-04-04 11:00:00,0.40583749968275845,0.5434926644581164,0.3386004514672686,0
2022484408,2016-04-04 12:00:00,0.22987314239169926,0.04467581637482253,0.0654627539503386,0
2022484408,2016-04-04 13:00:00,0.2584967059388728,0.06057737813535258,0.08126410835214448,0
2022484408,2016-04-04 14:00:00,0.20043008778346577,0.027638428774254615,0.04966139954853272,0
2022484408,2016-04-04 15:00:00,0.2360513328597466,0.07439659252247989,0.08239277652370203,0
2022484408,2016-04-04 16:00:00,0.479923128514911,0.29512541410317084,0.2832957110609481,0
2022484408,2016-04-04 17:00:00,0.3940174643131325,0.1200189304306673,0.15801354401805867,0
2022484408,2016-04-04 18:00:00,0.23721895564209589,0.06587789872219593,0.07900677200902934,0
2022484408,2016-04-04 19:00:00,0.2631514649921381,0.073450070989115,0.09029345372460496,0
2022484408,2016-04-04 20:00:00,0.23713277151975648,0.003596781826786559,0.023702031602708805,0
2022484408,2016-04-05 07:00:00,0.3384617946303224,0.021769995267392334,0.05191873589164785,0
2022484408,2016-04-05 08:00:00,0.2608853189855856,0.09862754377662092,0.10722347629796838,0
2022484408,2016-04-05 09:00:00,0.2573153490181647,0.09313771888310458,0.10835214446952596,0
2022484408,2016-04-05 10:00:00,0.5246496577413995,0.134690014197823,0.3182844243792325,0
2022484408,2016-04-05 11:00:00,0.46181858448123675,0.10411736867013724,0.20654627539503384,0
2022484408,2016-04-05 12:00:00,0.2621891564490914,0.014292475153809749,0.04401805869074491,0
2022484408,2016-04-05 13:00:00,0.24739940354791673,0.014481779460482727,0.0383747178329571,0
2022484408,2016-04-05 14:00:00,0.4395868299967797,0.18958826313298627,0.22686230248307,0
2022484408,2016-04-05 15:00:00,0.28009384606564863,0.05196403218173214,0.0925507900677201,0
2022484408,2016-04-05 16:00:00,0.3465578217026046,0.1338381448177946,0.15124153498871332,0
